id,name,tagType,icon,iconColor,description
1,Verified Halal,Halal status,checkmark,success,
2,Not verified yet Halal,Halal status,close,danger,
3,Dine-in,Service,restaurant,,
4,Delivery,Service,bag-check,,
5,Takeaway,Service,bag-check,,
6,Order then pick-up,Service,bag-handle,,
7,Waiter-service,Service,happy,,
8,Self-service,Service,hand-right,,
9,Inside seating,Facilities,log-in,,
10,Outdoor seating,Facilities,log-out,,
11,Wheelchair entrance,Facilities,accessibility,,
12,Wheelchair seating,Facilities,checkmark-circle,,
13,Pets allowed,Facilities,paw,,
14,Toilets,Facilities,body,,
15,Casual,Atmosphere,glasses,,
16,Cosy,Atmosphere,star,,
17,Breakfast,Dining options,restaurant,,
18,Lunch,Dining options,restaurant,,
19,Dinner,Dining options,restaurant,,
20,Ramadan Iftar,Dining options,restaurant,,
21,Desserts,Dining options,restaurant,,
22,"Soft drinks, water,…",Dining options,wine,,
23,Small groups (max. 10),Crowd,people,,
24,Big groups (more than 10),Crowd,people,,
25,Accepts reservations,Planning,call,,
26,Reservations required,Planning,call,,
27,Cash,Payments,cash,,
28,Credit cards,Payments,card,,
29,Debit cards,Payments,card,,
30,NFC mobile payments,Payments,phone-portrait-outline,,
31,Good for kids,Children,happy,,
32,High chairs,Children,happy,,
33,Playing places,Children,game-controller,,
34,Toilets & changing,Children,happy,,
